Date,Open,High,Low,Close,VWAP,Unadj. Open,Unadj. High,Unadj. Low,Unadj. Close,Unadj. VWAP,Volume,Change Percent,Change,Trade Value
2016/5/12,109.6651,110.0932,109.6063,109.9589,109.8757,130.66,131.17,130.59,131.01,130.9109,6087364,-0.456,-0.503596,796859173
2016/5/11,109.8078,110.7898,109.6651,110.4625,110.3842,130.83,132,130.66,131.61,131.5168,9256048,0.565,0.621095,1217444490
2016/5/10,109.8246,110.0512,109.6567,109.8414,109.8479,130.85,131.12,130.65,130.87,130.8778,4331861,0.008,0.008395,566941730
2016/5/9,109.4972,109.8581,109.3797,109.833,109.7226,130.46,130.89,130.32,130.86,130.7285,4950805,0.314,0.344119,647228618
2016/5/6,109.8246,109.833,109.3588,109.4888,109.5474,130.85,130.86,130.295,130.45,130.5198,7232476,-0.427,-0.470013,944101501
2016/5/5,109.1615,110.0092,108.8594,109.9589,109.5672,130.06,131.07,129.7,131.01,130.5434,7870447,0.669,0.730205,1027371850
2016/5/4,108.8426,109.2538,108.4313,109.2287,108.9378,129.68,130.17,129.19,130.14,129.7935,7211166,0.549,0.595906,945161844
2016/5/3,108.7335,109.1279,108.5656,108.6327,108.7532,129.55,130.02,129.35,129.43,129.5736,10736651,1.26,1.3513,1391142580
2016/5/2,107.9865,108.1837,107.2647,107.2814,107.5913,128.66,128.895,127.8,127.82,128.1892,11035175,-1.007,-1.091,1414381320
2016/4/29,107.5934,108.6488,107.3798,108.3724,108.1261,128.45,129.71,128.195,129.38,129.086,7416314,0.256,0.27642,957122117
2016/4/28,107.3924,108.1714,107.25,108.096,107.8682,128.21,129.14,128.04,129.05,128.7781,7974606,0.412,0.443943,1026877440
2016/4/27,107.1495,107.9033,106.8982,107.652,107.4071,127.92,128.82,127.62,128.52,128.2275,8380065,0.998,1.0638,1074633010
2016/4/26,107.0154,107.0154,106.4794,106.5883,106.6861,127.76,127.76,127.12,127.25,127.3668,7839962,-0.454,-0.485826,998433949
2016/4/25,107.2667,107.652,107.0741,107.0741,107.3068,128.06,128.52,127.83,127.83,128.1078,5539464,-0.413,-0.443939,709573406
2016/4/22,107.9285,107.9787,107.4175,107.518,107.6638,128.85,128.91,128.24,128.36,128.534,5826383,-0.256,-0.276417,748851304
2016/4/21,107.585,108.1127,107.4594,107.7944,107.7793,128.44,129.07,128.29,128.69,128.672,11154216,-0.595,-0.644975,1436065801
2016/4/20,109.8634,110.2738,108.2803,108.4394,108.9975,131.16,131.65,129.27,129.46,130.1263,10920713,-1.1,-1.2062,1425636243
2016/4/19,109.7964,109.9848,109.1346,109.6456,109.6105,131.08,131.305,130.29,130.9,130.8581,5212335,-0.312,-0.343424,682143969
2016/4/18,110.0058,110.0979,109.4446,109.989,109.8356,131.33,131.44,130.66,131.31,131.1268,4486643,-0.432,-0.477446,588327440
2016/4/15,109.9723,110.701,109.9388,110.4665,110.4786,131.29,132.16,131.25,131.88,131.8944,5831142,0.857,0.938138,769076012
2016/4/14,109.654,109.989,109.3023,109.5283,109.623,130.91,131.31,130.4901,130.76,130.8731,6966979,-0.479,-0.527707,911676061
2016/4/13,109.4697,110.2152,109.3273,110.056,109.8019,130.69,131.58,130.52,131.39,131.0866,5207859,0.351,0.385312,682836192
2016/4/12,109.7964,110.1901,109.3315,109.6707,109.6774,131.08,131.55,130.525,130.93,130.938,4276037,-0.69,-0.762242,559904362
2016/4/11,109.9974,110.7178,109.8215,110.433,110.2762,131.32,132.18,131.11,131.84,131.6529,4805494,-0.129,-0.142396,632742597
2016/4/8,110.7094,110.902,110.2613,110.5754,110.5603,132.17,132.4,131.635,132.01,131.9921,5585183,-0.632,-0.703612,737149121
